iter	Passed	Remaining
0	1	1102
1	1	751
2	1	601
3	2	547
4	2	499
5	2	462
6	3	449
7	3	429
8	3	422
9	4	411
10	4	407
11	4	400
12	5	396
13	5	394
14	5	385
15	6	377
16	6	370
17	6	365
18	6	361
19	7	357
20	7	355
21	7	352
22	8	347
23	8	343
24	8	344
25	9	341
26	9	337
27	9	334
28	9	331
29	10	331
30	10	329
31	10	327
32	11	325
33	11	323
34	11	320
35	11	318
36	12	316
37	12	314
38	12	313
39	12	311
40	13	311
41	13	309
42	13	308
43	14	308
44	14	307
45	14	307
46	15	309
47	15	309
48	15	309
49	16	309
50	16	308
51	16	306
52	17	306
53	17	305
54	17	305
55	18	304
56	18	304
57	18	303
58	18	302
59	19	301
60	19	299
61	19	299
62	20	297
63	20	297
64	20	296
65	20	296
66	21	296
67	21	295
68	21	295
69	22	294
70	22	293
71	22	292
72	22	291
73	23	290
74	23	290
75	23	289
76	24	288
77	24	288
78	24	287
79	24	286
80	25	285
81	25	285
82	25	283
83	25	283
84	26	282
85	26	281
86	26	281
87	27	281
88	27	280
89	27	280
90	28	279
91	28	279
92	28	278
93	28	278
94	29	277
95	29	277
96	29	276
97	30	276
98	30	276
99	30	276
100	31	276
101	31	276
102	31	277
103	32	276
104	32	275
105	32	275
106	32	274
107	33	273
108	33	273
109	33	272
110	33	271
111	34	271
112	34	271
113	34	271
114	35	270
115	35	270
116	35	269
117	36	269
118	36	269
119	36	269
120	37	269
121	37	268
122	37	267
123	37	268
124	38	267
125	38	267
126	38	266
127	39	266
128	39	266
129	39	265
130	40	265
131	40	265
132	40	264
133	40	264
134	41	264
135	41	264
136	41	264
137	42	263
138	42	263
139	43	264
140	43	263
141	43	262
142	43	263
143	44	262
144	44	262
145	44	261
146	45	262
147	45	262
148	45	262
149	46	261
150	46	261
151	46	260
152	46	260
153	47	259
154	47	258
155	47	258
156	48	258
157	48	258
158	48	257
159	49	257
160	49	256
161	49	256
162	49	255
163	50	255
164	50	255
165	50	255
166	51	254
167	51	254
168	51	254
169	52	254
170	52	253
171	52	253
172	52	252
173	53	252
174	53	252
175	53	251
176	54	251
177	54	251
178	54	250
179	55	250
180	55	250
181	55	250
182	56	250
183	56	249
184	56	249
185	56	248
186	57	248
187	57	247
188	57	247
189	57	247
190	58	246
191	58	246
192	58	246
193	59	245
194	59	245
195	59	245
196	60	245
197	60	244
198	60	244
199	60	243
200	61	243
201	61	243
202	61	242
203	62	243
204	62	243
205	63	242
206	63	242
207	63	242
208	64	242
209	64	242
210	64	242
211	65	241
212	65	241
213	65	241
214	65	240
215	66	240
216	66	240
217	66	240
218	67	239
219	67	239
220	67	239
221	68	239
222	68	238
223	68	238
224	69	238
225	69	237
226	69	237
227	70	237
228	70	236
229	70	236
230	71	236
231	71	236
232	71	236
233	72	236
234	72	235
235	72	235
236	73	235
237	73	234
238	73	234
239	73	234
240	74	233
241	74	233
242	74	232
243	75	232
244	75	232
245	75	232
246	76	232
247	76	232
248	76	232
249	77	231
250	77	231
251	77	231
252	78	230
253	78	230
254	78	230
255	79	230
256	79	230
257	79	229
258	80	229
259	80	229
260	80	229
261	81	229
262	81	228
263	82	228
264	82	228
265	82	227
266	82	227
267	83	227
268	83	226
269	83	226
270	84	226
271	84	226
272	84	226
273	85	225
274	85	225
275	85	225
276	86	225
277	86	224
278	86	224
279	87	223
280	87	223
281	87	223
282	88	222
283	88	222
284	88	222
285	89	222
286	89	221
287	89	221
288	89	220
289	90	220
290	90	220
291	90	220
292	91	220
293	91	219
294	91	219
295	92	219
296	92	219
297	92	219
298	93	218
299	93	218
300	94	218
301	94	218
302	94	218
303	95	217
304	95	217
305	95	217
306	96	217
307	96	217
308	96	216
309	97	216
310	97	215
311	97	215
312	98	215
313	98	215
314	98	215
315	99	214
316	99	214
317	99	214
318	100	213
319	100	213
320	100	213
321	101	213
322	101	212
323	101	212
324	102	212
325	102	212
326	102	211
327	103	211
328	103	211
329	103	211
330	104	210
331	104	210
332	105	210
333	105	210
334	105	209
335	105	209
336	106	209
337	106	209
338	107	208
339	107	208
340	107	208
341	108	207
342	108	207
343	108	207
344	109	207
345	109	207
346	109	206
347	110	206
348	110	206
349	110	206
350	111	205
351	111	205
352	111	205
353	112	204
354	112	204
355	113	204
356	113	204
357	113	203
358	113	203
359	114	203
360	114	202
361	114	202
362	115	202
363	115	202
364	115	201
365	116	201
366	116	200
367	116	200
368	117	200
369	117	200
370	117	199
371	118	199
372	118	199
373	118	198
374	119	198
375	119	198
376	119	197
377	119	197
378	120	197
379	120	196
380	120	196
381	121	195
382	121	195
383	121	195
384	122	194
385	122	194
386	122	194
387	123	194
388	123	194
389	124	194
390	124	194
391	124	193
392	125	193
393	125	193
394	125	192
395	126	192
396	126	191
397	126	191
398	127	191
399	127	191
400	127	190
401	128	190
402	128	190
403	128	189
404	128	189
405	129	189
406	129	188
407	129	188
408	130	188
409	130	187
410	130	187
411	131	187
412	131	186
413	131	186
414	132	186
415	132	185
416	132	185
417	133	185
418	133	185
419	133	184
420	134	184
421	134	183
422	134	183
423	135	183
424	135	183
425	135	182
426	136	182
427	136	182
428	137	182
429	137	182
430	137	181
431	138	181
432	138	181
433	138	181
434	139	181
435	139	180
436	140	180
437	140	180
438	140	179
439	141	179
440	141	179
441	141	179
442	142	178
443	142	178
444	142	177
445	143	177
446	143	177
447	143	177
448	144	176
449	144	176
450	144	176
451	144	175
452	145	175
453	145	175
454	145	174
455	146	174
456	146	174
457	146	173
458	147	173
459	147	173
460	147	172
461	148	172
462	148	172
463	148	171
464	149	171
465	149	171
466	149	170
467	150	170
468	150	170
469	150	169
470	150	169
471	151	169
472	151	168
473	151	168
474	152	168
475	152	167
476	152	167
477	153	167
478	153	166
479	153	166
480	154	166
481	154	165
482	154	165
483	155	165
484	155	164
485	155	164
486	156	164
487	156	164
488	156	163
489	157	163
490	157	163
491	157	162
492	157	162
493	158	162
494	158	161
495	158	161
496	159	161
497	159	160
498	159	160
499	160	160
500	160	159
501	160	159
502	161	159
503	161	158
504	161	158
505	162	158
506	162	157
507	162	157
508	163	157
509	163	156
510	163	156
511	164	156
512	164	156
513	164	155
514	165	155
515	165	155
516	165	154
517	165	154
518	166	154
519	166	153
520	166	153
521	167	153
522	167	152
523	167	152
524	168	152
525	168	151
526	168	151
527	169	151
528	169	150
529	169	150
530	169	150
531	170	149
532	170	149
533	170	149
534	171	149
535	172	148
536	172	148
537	172	148
538	172	147
539	173	147
540	173	147
541	173	147
542	174	146
543	174	146
544	174	145
545	175	145
546	175	145
547	175	145
548	176	144
549	176	144
550	176	144
551	177	143
552	177	143
553	177	143
554	178	142
555	178	142
556	178	142
557	179	141
558	179	141
559	179	141
560	180	140
561	180	140
562	180	140
563	180	139
564	181	139
565	181	139
566	181	138
567	182	138
568	182	138
569	182	137
570	182	137
571	183	137
572	183	136
573	183	136
574	183	135
575	184	135
576	184	135
577	184	134
578	184	134
579	185	134
